topic_english;group_english;header_english;caption_english;plot_type;topic_german;group_german;header_german;caption_german
Background Variables;Background Overview;Header Background Overview;;;Hintergrundvariablen;Hintergrundübersicht;Überschrift Hintergrundübersicht;
Background Variables;Background Correlation;Header Background Correlation;;;Hintergrundvariablen;Hintergrundkorrelation;Überschrift Hintergrundkorrelation;
Health Beliefs and Behavior;Subjective Risks;In your opinion, how likely are the following events in the next two months?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Risiken;Ihrer Meinung nach, wie wahrscheinlich sind die folgenden Ereignisse in den nächsten zwei Monaten?;
Health Beliefs and Behavior;Vignettes: Risk of Hospitalization;How big do you think the chances are that the following people infected with the coronavirus will have to go to the hospital because of the coronavirus?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Vignetten: Risiko eines Krankenhausaufenthaltes;Für wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen wegen des Coronavirus ins Krankenhaus müssen?;
Health Beliefs and Behavior;Vignettes: Risk of Death;How big do you think the chances are that the following people infected with the coronavirus will die because of the coronavirus?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Vignetten: Sterberisiko;Für wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen am Coronavirus sterben werden?;
Health Beliefs and Behavior;Subjective Effectiveness of Health Behaviors;In your opinion, how effective are the following behaviors for keeping you safe from the coronavirus? ;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Effektivität von Gesundheitsverhalten;Ihrer Meinung nach, wie effektiv sind die folgenden Verhaltensweisen, um Sie vor dem Coronavirus zu schützen?;
Health Beliefs and Behavior;Subjective Effectiveness of Social Distancing;In your opinion, how effective are the following social distancing measures for keeping you safe from the coronavirus? ;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Effektivität von sozialer Distanz;Ihrer Meinung nach, wie effektiv sind die folgenden Maßnahmen der sozialen Distanz, um Sie vor dem Coronavirus zu schützen?;In der Zeit, in der die Befragten diesen Fragebogen ausgefüllt haben (20. bis 31. März), hat die Regierung Hochrisikogruppen geraten, öffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern möglich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen für Ältere verboten.
Health Beliefs and Behavior;Social Distancing;Which of these recommendations did you follow during the past week?;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;barplot;Gesundheitsvorstellungen und -verhalten;soziale Distanz;Welchen dieser Empfehlungen sind Sie in den letzten Wochen gefolgt?;In der Zeit, in der die Befragten diesen Fragebogen ausgefüllt haben (20. bis 31. März), hat die Regierung Hochrisikogruppen geraten, öffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern möglich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen für Ältere verboten.
Policy;Expected Duration of Restrictions;For how long do you think that the restrictions currently in place will remain in effect?;"April 6 was the current end date of the restrictions (announced on March 15) when respondents were answering this question. 
The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.
Respondents were presented this question between March 20 and March 31.";stacked_barplot;Politik;Erwartete Dauer der Einschränkungen;Wie lange denken Sie werden die momentan gültigen Einschränkungen in Kraft bleiben? ;Das aktuelle Ende der Einschränkungen zur Zeit als die Befragten diese Frage beantworteten war der 6. April (bekanntgegeben am 15. März). Die zu dieser Zeit gültigen Einschränkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schließung aller Schulen (außer für Kinder, deren Eltern in unerlässlichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, Bäder sowie aller sich in Zusammenhang mit Sexualität befindlicher Geschäfte.
Policy;Subjective Effectiveness of Policies;Given the spread of the pandemic today, how effective do you think are the following policy measures (whether they are implemented or not at present)?;The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.;stacked_barplot;Politik;Subjektive Effektivität der Politikmaßnahmen;Gegeben die heutige Ausbreitung der Pandemie, für wie effektiv halten Sie die folgenden Politikmaßnahmen (ob sie derzeit umgesetzt werden oder nicht)?;Die zu dieser Zeit gültigen Einschränkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schließung aller Schulen (außer für Kinder, deren Eltern in unerlässlichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, Bäder sowie aller sich in Zusammenhang mit Sexualität befindlicher Geschäfte.
Policy;Support for Policies;Given the spread of the pandemic today, do you disagree or agree with the following policy measures (whether they are currently implemented or not)?;The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.;stacked_barplot;Politik;Unterstützung für Politikmaßnahmen;Gegeben die heutige Ausbreitung der Pandemie, stimmen Sie folgenden Politikmaßnahmen zu oder lehnen Sie sie ab (ob Sie aktuell umgesetzt werden oder nicht)?;Die zu dieser Zeit gültigen Einschränkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schließung aller Schulen (außer für Kinder, deren Eltern in unerlässlichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, Bäder sowie aller sich in Zusammenhang mit Sexualität befindlicher Geschäfte.
Policy;Appropriateness of Policy Response;The government has taken measures to prevent infections and has put in place a large package to limit the economic consequences of the coronavirus outbreak. Do you agree with the following statements?;"During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.
The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.
In the days before respondents started answering the questionnaire there had been press conferences by the prime minister every two to three days, the Vice Minister was assigned â€˜corona ministerâ€™ and there had been a video address by the king.";stacked_barplot;Politik;Angemessenheit der Antwort der Politik;Die Regierung hat Maßnahmen ergriffen, um Infektionen vorzubeugen und ein großes Paket zur Begrenzung der wirtschaftlichen Auswirkungen des Ausbruchs des Coronavirus beschlossen. Stimmen Sie folgenden Aussagen zu?;In der Zeit, in der die Befragten diesen Fragebogen ausgefüllt haben (20. bis 31. März), hat die Regierung Hochrisikogruppen geraten, öffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, sofern möglich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen für Ältere verboten.
Policy;Trust in Government;What is your general level of trust in the government and its actions?;;stacked_barplot;Politik;Vertrauen in Regierung;Wie hoch ist Ihr allgemeines Vertrauen in die Regierung und ihre Aktionen?;
Curfew;Compliance with Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, would you stay at home?;;stacked_barplot;Ausgangssperre;Einhalten der Ausgangssperre;Wenn die Regierung morgen beschließt, dass jeder, der nicht in kritischen Berufen arbeitet, außer um grundlegende Einkaufsbedürfnisse zu erledigen, zu Hause bleiben muss, würden Sie zu Hause bleiben?;
Curfew;Expected Compliance of Others;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, how many individuals out of 100 would do so in your opinion?;;distplot;Ausgangssperre;Erwartetes Einhalten der anderen;Wenn die Regierung morgen beschließt, dass jeder, der nicht in kritischen Berufen arbeitet, außer um grundlegende Einkaufsbedürfnisse zu erledigen, zu Hause bleiben muss, wie viele von 100 Personen würden dies Ihrer Meinung nach tun?;
Curfew;Reasons for Complying with Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you stay home?;;barplot;Ausgangssperre;Gründe für Einhalten der Ausgangssperre;Wenn die Regierung morgen beschließt, dass jeder, der nicht in kritischen Berufen arbeitet, außer um grundlegende Einkaufsbedürfnisse zu erledigen, zu Hause bleiben muss, aus welchen Gründen würden Sie zu Hause bleiben?;
Curfew;Reasons for Disobeying a Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you not stay home?;;barplot;Ausgangssperre;Gründe für Missachtung der Ausgangssperre;Wenn die Regierung morgen beschließt, dass jeder, der nicht in kritischen Berufen arbeitet, außer um grundlegende Einkaufsbedürfnisse zu erledigen, zu Hause bleiben muss, aus welchen Gründen würden Sie nicht zu Hause bleiben?;
Concerns;Health Concerns;When you think about the next four weeks, how concerned are you about the following?;;stacked_barplot;Sorgen;Gesundheitssorgen;Wenn Sie über die nächsten vier Wochen nachdenken, wie besorgt sind Sie über das Folgende?;
Concerns;Economic Concerns;When you think about the next four weeks, how concerned are you about the following?;The fear of becoming unemployed was only elicited from salaried employees who constitute approximately half of the sample.;stacked_barplot;Sorgen;wirtschaftliche Sorgen;Wenn Sie über die nächsten vier Wochen nachdenken, wie besorgt sind Sie über das Folgende?;Die Angst, arbeitslos zu werden, wurde nur bei Angestellten hervorgerufen, welche etwa die Hälfte der Stichprobe ausmachen.
Economic Adjustments;Working Hours;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days?;;stacked_barplot;wirtschaftliche Anpassungen;Arbeitsstunden;Wie viele Stunden pro Woche haben Sie Anfang März (bzw. bevor das Coronavirus Ihre Arbeit beeinflusst hat) im Durchschnitt am Arbeitsplatz oder von zu Hause aus gearbeitet? Und in den letzten sieben Tagen?;
Economic Adjustments;Reasons for Working Less Among Employees;Why are you working less now?;;barplot;wirtschaftliche Anpassungen;Gründe weniger zu arbeiten unter Angestellten;Warum arbeiten Sie jetzt weniger?;
Economic Adjustments;Reasons for Working Not Or Less Among the Self-Employed;Why are you working less or not at the moment?;;barplot;wirtschaftliche Anpassungen;Gründe nicht oder weniger zu arbeiten unter Selbstständigen ;Warum arbeiten Sie im Moment weniger oder nicht?;
Economic Adjustments;Childcare Adjustments;"Starting on March 20th, all schools and kindergartens in the Netherlands were closed. 
There is emergency child care provided by the state in case parents work in essential professions (e.g., healthcare worker, positions necessary in meeting operational needs). 
Respondents with children under 12 in their household were asked:

How do you deal with closure of school and / or childcare because of the coronavirus?";;barplot;wirtschaftliche Anpassungen;Anpassungen in der Kinderbetreuung;Vom 20. März an waren alle Schulen und Kindergärten in den Niederlanden geschlossen.;
Economic Adjustments;Consumption Plans;Do you intend to do the following things in response to the spread of the coronavirus?;;barplot;wirtschaftliche Anpassungen;Konsumpläne;Beabsichtigen Sie, die folgenden Dinge als Antwort auf die Ausbreitung des Coronavirus zu tun?;
Economic Expectations;Employment Among Employees;How likely do you think the following situations will happen in early June?;;stacked_barplot;wirtschaftliche Anpassungen;Beschäftigung unter Angestellten;Für wie wahrscheinlich halten Sie das Eintreten folgender Situationen Anfang Juni?;
Economic Expectations;Employment Among the Self-Employed;How likely do you think the following situations will happen in early June?;;stacked_barplot;wirtschaftliche Anpassungen;Beschäftigung unter Selbstständigen;Für wie wahrscheinlich halten Sie das Eintreten folgender Situationen Anfang Juni?;
